problem_id	category	ts_blocked_runs	other_error_runs	approve	not_approve
00001-app-menu-open-ui	ui-broken	0	0	0	5
00003-tool-comment-ui	ui-broken	0	0	0	5
00009-tool-media-ui	ts-blocked	3	0	0	2
00022-viewer-toolbar-ui	ts-blocked	5	0	0	0
00027-vector-break-at-vertex-ui	ui-broken	0	0	1	4
00030-vector-cut-divide-ui	ui-broken	0	0	0	5
00038-vector-interior-select-all-ui	ui-broken	1	0	0	4
00039-vector-lasso-ui	ui-broken	0	0	0	5
00040-vector-lasso-select-ui	ui-broken	0	0	0	5
00047-vector-select-all-ui	ui-broken	0	0	1	4
00049-vector-shape-builder-click-ui	ui-broken	0	0	2	3
00050-vector-shape-builder-merge-ui	ui-broken	0	0	2	3
00051-vector-shape-builder-remove-ui	ui-broken	0	0	0	5
00055-vector-vertex-select-ui	ui-broken	0	0	0	5
00060-vector-zero-handles-ui	ui-broken	1	0	0	4
00067-pen-remove-vertex-ui	ui-broken	0	0	0	5
00069-canvas-alt-duplicate-drag-ui	ui-broken	0	0	2	3
00075-canvas-eyedropper-ui	ui-broken	0	0	0	5
00078-canvas-image-crop-ui	ui-broken	1	0	0	4
00081-canvas-move-snap-ui	ui-broken	0	0	0	5
00085-canvas-pan-right-drag-ui	ui-broken	2	0	0	3
00086-canvas-pinch-zoom-ui	ui-broken	0	0	0	5
00093-canvas-wheel-pan-zoom-ui	ui-broken	0	0	0	5
00100-clipboard-paste-ui	ui-broken	0	0	0	5
00102-copy-as-png-ui	ui-broken	0	0	1	4
00104-copy-as-text-ui	ui-broken	0	0	2	3
00105-copy-node-id-ui	ui-broken	0	0	0	5
00106-copy-xpath-ui	ui-broken	0	0	1	4
00109-paste-to-replace-ui	ui-broken	0	0	0	5
00121-boolean-subtract-ui	ui-broken	0	0	1	4
00133-instance-detach-ui	ui-broken	0	0	2	3
00138-outline-stroke-ui	ui-broken	0	0	0	5
00140-remove-dev-status-ui	ui-broken	0	0	0	5
00153-language-select-ui	ui-broken	0	0	0	5
00154-layout-guides-toggle-ui	ui-broken	0	0	0	5
00157-rulers-toggle-ui	ui-broken	0	0	0	5
00158-theme-select-ui	ui-broken	0	0	2	3
00160-toggle-ui-ui	ui-broken	0	0	1	4
00168-pref-ctrl-click-right-click-menu-ui	ui-broken	0	0	0	5
00177-pref-right-click-drag-to-pan-ui	ts-blocked	3	0	0	2
00182-pref-snap-to-geometry-ui	ui-broken	0	0	0	5
00183-pref-snap-to-objects-ui	ui-broken	0	0	2	3
00189-pref-use-smart-quotes-ui	ui-broken	0	0	0	5
00191-auto-layout-alignment-ui	ui-broken	0	0	1	4
00192-auto-layout-cross-gap-ui	ui-broken	1	0	0	4
00201-auto-layout-wrap-ui	ui-broken	0	0	2	3
00204-constraint-pin-diagram-ui	ui-broken	0	0	0	5
00208-corner-radius-per-corner-ui	ui-broken	1	0	0	4
00210-grid-gap-edit-ui	ui-broken	0	0	2	3
00211-grid-layout-enable-ui	ui-broken	0	0	1	4
00215-instance-boolean-prop-toggle-ui	ui-broken	0	0	0	5
00216-instance-switch-variant-ui	ui-broken	0	1	0	4
00217-instance-text-prop-edit-ui	ui-broken	0	1	0	4
00236-text-resize-mode-ui	ui-broken	0	0	0	5
00241-color-eyedropper-ui	ui-broken	0	0	0	5
00249-fill-hex-edit-ui	ui-broken	0	0	0	5
00259-gradient-stop-bind-variable-ui	ui-broken	0	0	2	3
00264-image-adjustments-ui	ui-broken	0	0	0	5
00265-image-choose-ui	ui-broken	1	0	0	4
00266-image-rotate-90-ui	ts-blocked	4	0	0	1
00267-image-scale-mode-ui	ts-blocked	3	0	0	2
00268-image-tile-scale-ui	ui-broken	2	0	0	3
00276-stroke-hex-edit-ui	ui-broken	0	0	1	4
00281-stroke-per-side-weight-ui	ui-broken	0	1	1	3
00287-stroke-weight-edit-ui	ui-broken	0	0	1	4
00290-effect-color-bind-variable-ui	ui-broken	0	0	0	5
00298-text-align-vertical-ui	ui-broken	0	0	0	5
00302-text-font-bind-variable-ui	ui-broken	0	0	1	4
00309-text-list-style-ui	ui-broken	0	0	2	3
00312-text-paragraph-spacing-ui	ui-broken	0	0	2	3
00313-text-path-controls-ui	ui-broken	0	0	1	4
00314-text-truncate-ui	ui-broken	0	0	2	3
00315-text-underline-details-ui	ui-broken	0	0	2	3
00316-text-vertical-trim-ui	ui-broken	0	0	2	3
00317-type-feature-generic-ui	ui-broken	0	0	0	5
00321-type-letter-case-features-ui	ui-broken	0	0	2	3
00323-type-numbers-style-ui	ui-broken	0	0	2	3
00324-type-optical-size-auto-ui	ui-broken	0	0	0	5
00327-type-variable-axis-ui	ui-broken	0	0	0	5
00328-color-style-create-ui	ui-broken	0	0	0	5
00329-effect-apply-style-ui	ui-broken	2	0	0	3
00330-effect-style-create-ui	ui-broken	2	0	0	3
00331-fill-apply-style-ui	ui-broken	0	0	0	5
00332-fill-detach-style-ui	ui-broken	0	0	1	4
00333-fill-update-style-ui	ui-broken	0	1	0	4
00334-grid-style-create-ui	ui-broken	0	0	0	5
00335-stroke-apply-style-ui	ui-broken	0	0	0	5
00336-style-create-menu-ui	ui-broken	0	0	0	5
00337-text-apply-style-ui	ui-broken	0	0	0	5
00338-text-detach-style-ui	ui-broken	0	0	0	5
00339-text-style-create-ui	ui-broken	0	0	0	5
00340-text-update-style-ui	ui-broken	0	0	0	5
00341-variable-bind-field-ui	ui-broken	0	0	1	4
00342-variable-collection-create-ui	ui-broken	0	0	0	5
00344-variable-collection-rename-ui	ui-broken	0	0	2	3
00347-variable-create-color-ui	ui-broken	0	0	0	5
00348-variable-create-number-ui	ui-broken	0	0	0	5
00349-variable-create-string-ui	ui-broken	2	1	0	2
00351-variable-mode-add-ui	ui-broken	0	0	0	5
00352-variable-mode-manage-ui	ui-broken	0	2	0	3
00355-variable-value-edit-ui	ui-broken	0	0	0	5
00359-layer-lock-ui	ui-broken	0	0	0	5
00368-page-reorder-dnd-ui	ui-broken	0	0	0	5
00378-export-scale-ui	ui-broken	0	0	0	5
00385-file-drag-drop-open-ui	ts-blocked	4	0	0	1
00386-file-import-pen-ui	ui-broken	0	0	0	5
00388-file-open-ui	ui-broken	1	0	0	4
00389-file-reload-external-ui	ts-blocked	4	0	0	1
00390-file-save-ui	ts-blocked	5	0	0	0
00391-file-save-as-ui	ui-broken	0	0	0	5
00394-share-copy-link-ui	ui-broken	0	0	1	4
00396-share-open-settings-ui	ui-broken	2	0	0	3
00397-share-remove-access-ui	ts-blocked	5	0	0	0
00398-share-set-audience-ui	ui-broken	2	0	0	3
00399-share-set-link-permission-ui	ts-blocked	4	0	0	1
00400-share-set-password-ui	ts-blocked	4	0	0	1
